HEI name,Type,Region,Funding,URL,Comment
H für Philosophie München (Theol. H),Theol. Hochschulen,Bayern,Kirchlich,www.hfph.de,d
Augustana-H Neuendettelsau (Theol. H),Theol. Hochschulen,Bayern,Kirchlich,www.augustana.de,d
Phil.-Theol. H Frankfurt a.M. (Theol. H),Theol. Hochschulen,Hessen,Kirchlich,www.sankt-georgen.de,d
Theol. Fakultät Fulda (Theol. H),Theol. Hochschulen,Hessen,Kirchlich,www.thf-fulda.de,d
Luth.-Theologische H Oberursel (Theol. H),Theol. Hochschulen,Hessen,Kirchlich,lthh.de,d
Theologische H Ewersbach in Dietzhölztal (Theol. H),Theol. Hochschulen,Hessen,Privat,Th-ewersbach.de,d
Freie Theologische H (FTH) Gießen (Theol. H),Theol. Hochschulen,Hessen,Privat,Www.fthgiessen.de,x
Evangelische Hochschule Tabor in Marburg (Theol. H),Theol. Hochschulen,Hessen,Privat,www.eh-tabor.de,x
H für Kirchenmusik Herford-Witten (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich,www.hochschule-kirchenmusik.de,d
Phil.-Theol. H Münster (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich,www.pth-muenster.de,d
Theol. Fakultät Paderborn (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich,www.thf-paderborn.de,d
Kölner H für Katholische Theologie (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich,www.khkt.de,d
Kirchliche Hochschule Wuppertal / Bethel in Bethel (Theol. H),Theol. Hochschulen,Nordrhein-Westfalen,Kirchlich,Kiho-wuppertal.de,x
Theol. Fakultät Trier (Theol. H),Theol. Hochschulen,Rheinland-Pfalz,Kirchlich,Theologie-trier.de,d
Theol. H Vallendar (Theol. H),Theol. Hochschulen,Rheinland-Pfalz,Kirchlich,www.pthv.de,-
Theol. H Friedensau (Theol. H),Theol. Hochschulen,Sachsen-Anhalt,Kirchlich,www.thh-friedensau.de,d
Staatl. H für Musik Freiburg i.Br. (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land,www.mh-freiburg.de,x
Staatl. Akademie der Bildenden Künste Karlsruhe (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land,www.kunstakademie-karlsruhe.de,x
Staatl. H für Gestaltung Karlsruhe (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land,www.hfg-karlsruhe.de,x
Staatl. H für Musik Karlsruhe (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land,www.hfm-karlsruhe.de,x
Staatl. H für Musik und Darstellende Kunst Mannheim (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land,www.muho-mannheim.de,x
Staatl. Akademie der Bildenden Künste Stuttgart (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land,www.abk-stuttgart.de,x
Staatl. H für Musik und Darstellende Kunst Stuttgart (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land,www.hmdk-stuttgart.de,x
Staatl. H für Musik Trossingen (Kunst-H),Kunsthochschulen,Baden-Württemberg,Land,www.hfm-trossingen.de,x
Akademie der Bildenden Künste München (Kunst-H),Kunsthochschulen,Bayern,Land,www.adbk.de,x
H für Fernsehen und Film München (Kunst-H),Kunsthochschulen,Bayern,Land,www.hff-muenchen.de,d
H für Musik und Theater München (Kunst-H),Kunsthochschulen,Bayern,Land,www.hmtm.de,d
Akademie der Bildenden Künste Nürnberg (Kunst-H),Kunsthochschulen,Bayern,Land,www.adbk-nuernberg.de,x
H für Musik Nürnberg (Kunst-H),Kunsthochschulen,Bayern,Land,www.hfm-nuernberg.de,x
H für Musik Würzburg (Kunst-H),Kunsthochschulen,Bayern,Land,www.hfm-wuerzburg.de,x
H für evang. Kirchenmusik Bayreuth (Kunst-H),Kunsthochschulen,Bayern,Kirchlich,www.hfk-bayreuth.de,x
"H für kath. Kirchenmusik und Musikpädagogik, Regensburg (Kunst-H)",Kunsthochschulen,Bayern,Kirchlich,www.hfkm-regensburg.de,x
U der Künste Berlin (Kunst-H),Kunsthochschulen,Berlin,Land,www.udk-berlin.de,x
Weißensee Kunsthochschule Berlin (Kunst-H),Kunsthochschulen,Berlin,Land,www.kh-berlin.de,x
H für Musik Berlin (Kunst-H),Kunsthochschulen,Berlin,Land,www.hfm-berlin.de,x
H für Schauspielkunst Berlin (Kunst-H),Kunsthochschulen,Berlin,Land,www.hfs-berlin.de,x
Barenboim-Said Akademie Berlin (Kunst-H),Kunsthochschulen,Berlin,Privat,www.barenboimsaid.de,x
H für Künste Bremen (Kunst-H),Kunsthochschulen,Bremen,Land,www.hfk-bremen.de,x
H für Bildende Künste Hamburg (Kunst-H),Kunsthochschulen,Hamburg,Land,www.hfbk-hamburg.de,x
