"Sortierschl.","Region-sortkey","Text","Träger-
schaft"
60760100,7,"Evangelische Hochschule Darmstadt (EHD) in Darmstadt (Kirchl. FH)",5
60760200,7,"Evangelische Hochschule Darmstadt (EHD) in Schwalmstadt (Kirchl. FH)",5
60765000,7,"CVJM-Hochschule Kassel (Priv. FH)",4
60768000,7,"Promotionszentrum Soziale Arbeit ",2
60770000,7,"Promotionszentrum Angewandte Informatik ",2
60775100,7,"H für Ökonomie und Management Essen in Kassel (Priv. FH)",4
60775200,7,"H für Ökonomie und Management Essen in Frankfurt (Priv. FH)",4
60776000,7,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Frankfurt a. M. (Priv. FH)",4
60780000,7,"International School of Management Dortmund in Frankfurt (Priv. FH)",4
60783000,7,"IU Internationale Hochschule Erfurt in Frankfurt (Priv. FH)",4
60805000,8,"Hochschule Neubrandenburg (FH)",2
60810000,8,"Hochschule Stralsund (FH)",2
60815000,8,"Hochschule Wismar (FH)",2
60825000,8,"Hochschule der Bundesagentur für Arbeit in Schwerin (FH)",1
60830100,8,"FH des Mittelstandes (FHM) in Rostock (Priv. FH)",4
60830200,8,"FH des Mittelstandes (FHM) in Schwerin (Priv. FH)",4
60835000,8,"Europäische FH (EUFH) in Rostock (Priv. FH)",4
60905200,9,"Hochschule Braunschweig-Wolfenbüttel in Salzgitter (FH)",2
60905300,9,"Hochschule Braunschweig-Wolfenbüttel in Wolfenbüttel (FH)",2
60905400,9,"Hochschule  Braunschweig-Wolfenbüttel in Wolfsburg (FH)",2
60905500,9,"Hochschule Braunschweig-Wolfenbüttel in Suderburg (FH)",2
60907100,9,"Hochschule Emden/Leer in Emden (FH)",2
60907200,9,"Hochschule Emden/Leer in Leer (FH)",2
60910100,9,"Hochschule Hannover (FH)",2
60912000,9,"Hochschule Weserbergland (HSW), Hameln (Priv. FH)",4
60915200,9,"Hochschule Hildesheim/Holzminden/Göttingen in Göttingen (FH)",2
60915300,9,"Hochschule Hildesheim/Holzminden/Göttingen in Hildesheim (FH)",2
60915400,9,"Hochschule Hildesheim/Holzminden/Göttingen in Holzminden (FH)",2
60920100,9,"Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Elsfleth (FH)",2
60920200,9,"Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Oldenburg (FH)",2
60920300,9,"Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Wilhelmshaven (FH)",2
60925100,9,"Hochschule Osnabrück in Osnabrück (FH)",2
60925200,9,"Hochschule Osnabrück in Lingen (FH)",2
60927000,9,"Hochschule21, Buxtehude (Priv. FH)",4
60930000,9,"FH für Interkulturelle Theologie Hermannsburg (Priv. FH)",4
60935000,9,"Private Hochschule Göttingen (Priv. FH)",4
60940200,9,"Fachhochschule für die Wirtschaft Hannover (FHDW) (Priv. FH)",4
60942000,9,"H für Ökonomie und Management Essen in Hannover (Priv. FH)",4
60944000,9,"FH des Mittelstandes (FHM) in Hannover (Priv. FH)",4
60945000,9,"FH Ottersberg (Priv. FH)",4
60950100,9,"H für Wirtschaft und Technik Vechta/Diepholz in Diepholz (Priv. FH)",4
60950300,9,"H für Wirtschaft und Technik Vechta/Diepholz in Vechta (Priv. FH)",4
60965000,9,"Leibniz - Fachhochschule Hannover (Priv. FH)",4
61003100,10,"FH Aachen in Aachen",2
61003200,10,"FH Aachen in Jülich",2
61006100,10,"FH Bielefeld in Bielefeld",2
61006200,10,"FH Bielefeld in Minden",2
61006300,10,"FH Bielefeld in Gütersloh",2
61009100,10,"Hochschule Bochum (FH) in Bochum",2
61009200,10,"Hochschule Bochum (FH) in Velbert/Heiligenhaus",2
61011000,10,"Hochschule für Gesundheit Bochum (FH)",2
61012100,10,"H Bonn-Rhein-Sieg in Rheinbach (FH)",2
61012200,10,"H Bonn-Rhein-Sieg in Sankt Augustin (FH)",2
61012300,10,"H Bonn-Rhein-Sieg in Hennef (FH)",2
61015000,10,"FH Dortmund",2
61018000,10,"H Düsseldorf (FH)",2
61021100,10,"Westfälische H in Gelsenkirchen/Bocholt/Recklinghausen (FH) in Bocholt",2
61021200,10,"Westfälische H in Gelsenkirchen/Bocholt/Recklinghausen (FH) in Gelsenkirchen",2
61021300,10,"Westfälische H in Gelsenkirchen/Bocholt/Recklinghausen (FH) in Recklinghausen",2
61022100,10,"H Hamm-Lippstadt in Hamm (FH)",2
61022200,10,"H Hamm-Lippstadt in Lippstadt (FH)",2
61024100,10,"Technische Hochschule Köln (FH) in Gummersbach",2
61024200,10,"Technische Hochschule Köln (FH) in Köln",2
61024300,10,"Technische Hochschule Köln (FH) in Leverkusen",2
61027100,10,"TH Ostwestfalen-Lippe in Lemgo/Detmold/Höxter in Detmold (FH)",2
61027200,10,"TH Ostwestfalen-Lippe in Lemgo/Detmold/Höxter in Höxter (FH)",2
61027300,10,"TH Ostwestfalen-Lippe in Lemgo/Detmold/Höxter in Lemgo (FH)",2
61030100,10,"FH Münster in Münster",2
61030200,10,"FH Münster in Steinfurt",2
61033100,10,"H Niederrhein in Krefeld (FH)",2
61033200,10,"H Niederrhein in Mönchengladbach (FH)",2
61034100,10,"H Rhein-Waal in Kleve (FH)",2
61034200,10,"H Rhein-Waal in Kamp-Lintfort (FH)",2
61036100,10,"FH Südwestfalen in Hagen",2
61036200,10,"FH Südwestfalen in Iserlohn",2
61036300,10,"FH Südwestfalen in Meschede",2
61036400,10,"FH Südwestfalen in Soest",2
61038100,10,"H Ruhr-West (FH) in Bottrop",2
61038200,10,"H Ruhr-West (FH) in Mülheim",2
61039100,10,"IU Internationale Hochschule Erfurt in Bad Honnef (Priv. FH)",4
61039200,10,"IU Internationale Hochschule Erfurt in Dortmund (Priv. FH)",4
61039300,10,"IU Internationale Hochschule Erfurt in Düsseldorf (Priv. FH)",4
61040000,10,"IB Hochschule für Gesundheit und Soziales Berlin in Köln (Priv. FH)",4
61041000,10,"Mediadesign Hochschule Berlin in Düsseldorf (Priv. FH)  ",4
61042100,10,"FH des Mittelstandes (FHM) in Bielefeld (Priv. FH)",4
61042200,10,"FH des Mittelstandes (FHM) in Köln (Priv. FH)",4
61042300,10,"FH des Mittelstandes (FHM) in Frechen (Priv. FH)",4
61043000,10,"Fliedner Fachhochschule Düsseldorf (Priv. FH)",4
61044000,10,"Kolping H, Köln (Priv. FH)",4
61045000,10,"TH Georg Agricola Bochum (Priv. FH)",4
61047000,10,"EBZ Business School Bochum (Priv. FH)",4
61048000,10,"H für Finanzwirtschaft & Management Bonn (Priv. FH)",4
61051100,10,"Europäische FH (EUFH) in Brühl (Priv. FH)",4
61051200,10,"Europäische FH (EUFH) in Neuss (Priv. FH)",4
61051300,10,"Europäische FH (EUFH) in Köln (Priv. FH)",4
61051400,10,"Europäische FH (EUFH) in Rheine (Priv. FH)",4
61054100,10,"International School of Management Dortmund in Dortmund (Priv. FH)",4
61054200,10,"International School of Management Dortmund in Köln (Priv. FH)",4
61055100,10,"praxisHochschule Köln in Köln (Priv. FH)",4
61055200,10,"praxisHochschule Köln in Rheine (Priv. FH)",4
61057000,10,"H für Ökonomie und Management Essen (Priv. FH)",4
61057010,10,"H für Ökonomie und Management Essen in Arnsberg (Priv. FH)",4
61057030,10,"H für Ökonomie und Management Essen in Aachen (Priv. FH)",4
61057040,10,"H für Ökonomie und Management Essen in Bochum (Priv. FH)",4
61057050,10,"H für Ökonomie und Management Essen in Bonn (Priv. FH)",4
61057060,10,"H für Ökonomie und Management Essen in Bönen (Priv. FH)",4
61057100,10,"H für Ökonomie und Management Essen in Dortmund (Priv. FH)",4
61057200,10,"H für Ökonomie und Management Essen in Düsseldorf (Priv. FH)",4
61057300,10,"H für Ökonomie und Management Essen in Duisburg (Priv. FH)",4
61057400,10,"H für Ökonomie und Management Essen in Essen (Priv. FH)",4
61057500,10,"H für Ökonomie und Management Essen in Gütersloh (Priv. FH)",4
61057520,10,"H für Ökonomie und Management Essen in Hagen (Priv. FH)",4
61057600,10,"H für Ökonomie und Management Essen in Köln (Priv. FH)",4
61057700,10,"H für Ökonomie und Management Essen in Marl (Priv. FH)",4
61057720,10,"H für Ökonomie und Management Essen in Münster (Priv. FH)",4
61057800,10,"H für Ökonomie und Management Essen in Neuss (Priv. FH)",4
61057900,10,"H für Ökonomie und Management Essen in Siegen (Priv. FH)",4
61057910,10,"H für Ökonomie und Management Essen in Wesel (Priv. FH)",4
61057950,10,"H für Ökonomie und Management Essen in Wuppertal (Priv. FH)",4
61058000,10,"EBC Euro Business College Hamburg Campus Düsseldorf (Priv. FH)",4
61059000,10,"IST-Hochschule für Management Düsseldorf (Priv. FH)",4
61060000,10,"SRH Hochschule Nordrhein-Westfalen Hamm in Hamm (Priv. FH)",4
61060100,10,"SRH Hochschule Nordrhein-Westfalen Hamm in Leverkusen (Priv. FH) ",4
61062000,10,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Köln (Priv. FH)",4
61063000,10,"University of Europe for Applied Sciences Potsdam in Iserlohn (Priv. FH)",4
61065000,10,"CBS International Business School, Campus Köln (Priv. FH)",4
61066000,10,"Hochschule Fresenius Idstein in Köln (Priv. FH)",4
61066100,10,"Hochschule Fresenius Idstein in Düsseldorf (Priv. FH)  ",4
61067000,10,"Deutsche Hochschule für Gesundheit und Sport Berlin in Unna (Priv. FH)",4
61069100,10,"Rheinische FH Köln in Köln (Priv. FH) ",4
61069200,10,"Rheinische FH Köln in Neuss (Priv. FH)",4
61070000,10,"HSD Hochschule Döpfer Köln in Köln (Priv. FH)",4
61072100,10,"FH der Wirtschaft Paderborn in Bergisch-Gladbach (Priv. FH)",4
61072200,10,"FH der Wirtschaft Paderborn in Bielefeld (Priv. FH)",4
61072400,10,"FH der Wirtschaft Paderborn in Paderborn (Priv. FH)",4
61072500,10,"FH der Wirtschaft Paderborn in Mettmann (Priv. FH)",4
61073000,10,"H für Medien, Kommunikation und Wirtschaft Berlin in Köln (Priv. FH)",4
61074000,10,"FH der Diakonie Bielefeld-Bethel (Kirchl. FH)",5
61075000,10,"Evang. Hochschule Rheinland-Westfalen-Lippe, Bochum (Kirchl. FH)",5
61078100,10,"Kath. Hochschule Nordrhein-Westfalen in Aachen (Kirchl. FH)",5
61078200,10,"Kath. Hochschule Nordrhein-Westfalen in Köln (Kirchl. FH)",5
61078300,10,"Kath. Hochschule Nordrhein-Westfalen in Münster (Kirchl. FH)",5
61078400,10,"Kath. Hochschule Nordrhein-Westfalen in Paderborn (Kirchl. FH)",5
61105000,11,"Technische Hochschule Bingen (FH)",2
61110100,11,"Hochschule Kaiserslautern in Kaiserslautern (FH)",2
61110200,11,"Hochschule Kaiserslautern in Pirmasens (FH)",2
61110300,11,"Hochschule Kaiserslautern in Zweibrücken (FH)",2
61115100,11,"Hochschule Koblenz (FH) in Höhr-Grenzhausen",2
61115200,11,"Hochschule Koblenz (FH) in Koblenz",2
61115300,11,"Hochschule Koblenz (FH) in Remagen",2
61120000,11,"Hochschule für Wirtschaft und Gesellschaft Ludwigshafen (FH)",2
61125000,11,"Hochschule Mainz (FH)",2
61130100,11,"Hochschule Trier (FH) in Birkenfeld",2
61130200,11,"Hochschule Trier (FH) in Idar-Oberstein",2
61130300,11,"Hochschule Trier (FH) in Trier",2
61135000,11,"Hochschule Worms (FH)",2
61145000,11,"Katholische Hochschule Mainz (Kirchl. FH)",5
61150000,11,"Cusanus Hochschule für Gesellschaftsgestaltung Bernkastel-Kues (Priv. FH)",4
61155000,11,"CBS International Business School, Campus Mainz (Priv. FH)",4
61205000,12,"H für Technik und Wirtschaft des Saarlandes Saarbrücken (FH)",2
61215000,12,"Deutsche Hochschule für Prävention und Gesundheitsmanagement, Saarbrücken (Priv. FH)",4
61220000,12,"H für Ökonomie und Management Essen in Saarbrücken (Priv. FH)",4
61305000,13,"H für Technik und Wirtschaft Dresden, Hochschule für angewandte Wissenschaften (FH)",2
61310000,13,"H für Technik, Wirtschaft und Kultur Leipzig, Hochschule für angewandte Wissenschaften (FH)",2
61315000,13,"H Mittweida (University of Applied Sciences), Hochschule für angewandte Wissenschaften (FH)",2
61320000,13,"H Zittau/Görlitz, Hochschule für angewandte Wissenschaften (FH)",2
61320100,13,"H Zittau/Görlitz in Görlitz, Hochschule für angewandte Wissenschaften (FH)",2
61320200,13,"H Zittau/Görlitz in Zittau, Hochschule für angewandte Wissenschaften (FH)",2
61325000,13,"Westsächsische H Zwickau, Hochschule für angewandte Wissenschaften (FH)",2
61325100,13,"Westsächsische H Zwickau in Reichenbach, Hochschule für angewandte Wissenschaften (FH)",2
61325200,13,"Westsächsische H Zwickau in Schneeberg, Hochschule für angewandte Wissenschaften (FH)",2
61325300,13,"Westsächsische H Zwickau in Zwickau, Hochschule für angewandte Wissenschaften (FH)",2
61331000,13,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Leipzig (Priv. FH) ",4
61333000,13,"IU Internationale Hochschule Erfurt in Leipzig (Priv. FH)",4
61335000,13,"Hochschule für Telekommunikation Leipzig (Priv. FH)",4
61336000,13,"H für Ökonomie und Management Essen in Leipzig (Priv. FH)",4
61338000,13,"SRH Berlin University of Applied Sciences in Dresden (Priv. FH)",4
61355100,13,"Evangelische Hochschule Dresden in Dresden (Kirchl. FH)",5
61355200,13,"Evangelische Hochschule Dresden in Moritzburg (Kirchl. FH)",5
61365000,13,"Fachhochschule Dresden (Priv. FH)",4
61405100,14,"H Anhalt in Bernburg (FH) ",2
61405200,14,"H Anhalt in Dessau (FH) ",2
61405300,14,"H Anhalt in Köthen (FH) ",2
61410100,14,"H Harz in Halberstadt (FH)",2
61410200,14,"H Harz in Wernigerode (FH)",2
61415100,14,"H Magdeburg-Stendal in Magdeburg (FH)",2
61415200,14,"H Magdeburg-Stendal in Stendal (FH)",2
61420000,14,"Hochschule Merseburg (FH)",2
61505000,15,"Hochschule Flensburg (FH)",2
61510000,15,"FH Westküste, Heide",2
61515000,15,"FH Kiel",2
61520000,15,"Technische Hochschule Lübeck (FH)",2
61525000,15,"Hochschule der Wirtschaft (Nordakademie) Elmshorn (Priv. FH)",4
61535000,15,"FH Wedel (Priv. FH)",4
61540000,15,"DHSH - Duale Hochschule Schleswig-Holstein, Kiel (Priv. FH)",4
61605000,16,"FH Erfurt",2
61610000,16,"Ernst-Abbe-Hochschule Jena (FH)",2
61615000,16,"Hochschule Nordhausen (FH)",2
61620000,16,"Hochschule Schmalkalden (FH)",2
61640000,16,"SRH FH für Gesundheit Gera (Priv. FH)",4
61645100,16,"Duale Hochschule Gera-Eisenach in Eisenach (FH)",2
61645200,16,"Duale Hochschule Gera-Eisenach in Gera (FH)",2
61650000,16,"IU Internationale Hochschule Erfurt in Erfurt (Priv. FH) ",4
70105000,1,"FH für öffentliche Verwaltung Kehl (Verw-FH)  ",2
70110000,1,"Hochschule Ludwigsburg für öffentliche Verwaltung und Finanzen  (Verw-FH)  ",2
70115000,1,"FH für Rechtspflege Schwetzingen (Verw-FH)  ",2
70120000,1,"Staatl. H für Polizei Villingen-Schwenningen (Verw-FH)  ",2
70125000,1,"Hochschule des Bundes für öffentliche Verwaltung, FB Bundeswehrverwaltung in Mannheim",1
70205100,2,"Hochschule für den öffentlichen Dienst in Bayern Standort Fürstenfeldbruck (Polizei) (Verw-FH)",2
70205200,2,"Hochschule für den öffentlichen Dienst in Bayern Standort Herrsching (Finanzwesen) (Verw-FH)",2
70205250,2,"Hochschule für den öffentlichen Dienst in Bayern Standort Dorfen (Sozialverwaltung) (Verw-FH)",2
70205300,2,"Hochschule für den öffentlichen Dienst in Bayern Standort Hof (Allg. Innere Verwaltung) (Verw-FH)",2
70205350,2,"Hochschule für den öffentlichen Dienst in Bayern Standort Kaufbeuren (Finanzwesen) (Verw-FH) ",2
70205400,2,"Hochschule für den öffentlichen Dienst in Bayern Standort München (Archiv- u. Biblioth.) (Verw-FH)",2
70205500,2,"Hochschule für den öffentlichen Dienst in Bayern Standort Starnberg (Rechtspflege) (Verw-FH)",2
70205550,2,"Hochschule für den öffentlichen Dienst in Bayern Standort Sulzbach-Rosenberg (Polizei) (Verw-FH) ",2
70205600,2,"Hochschule für den öffentlichen Dienst in Bayern Standort Wasserburg (Sozialverwaltung) (Verw-FH)",2
70205700,2,"Hochschule für den öffentlichen Dienst in Bayern Standort München (Zentralverwaltung) (Verw-FH)  ",2
70310001,3,"Hochschule des Bundes für öffentliche Verwaltung, FB Auswärtige Angelegenheiten in Berlin",1
70310002,3,"Hochschule des Bundes für öffentliche Verwaltung, FB Sozialversicherung in Berlin",1
70310003,3,"Hochschule des Bundes für öffentliche Verwaltung, FB Nachrichtendienste in Berlin ",1
70405000,4,"Hochschule der Polizei Brandenburg in Oranienburg (Verw-FH)",2
70410000,4,"FH für Finanzen Brandenburg Königs Wusterhausen (Verw-FH)",2
70505000,5,"H für öffentliche Verwaltung Bremen (Verw-FH)",2
70605000,6,"Akademie der Polizei Hamburg (Verw-FH)",2
70610000,6,"Norddeutsche Akademie für Finanzen und Steuerrecht Hamburg (Verw-FH)",2
70705000,7,"FH für Archivwesen Marburg (Verw-FH)",2
70710000,7,"Hessische Hochschule für Finanzen und Rechtspflege Rotenburg (Verw-FH)",2
70715200,7,"Hessische Hochschule für Polizei und Verwaltung Wiesbaden in Gießen (Verw-FH)",2
70715300,7,"Hessische Hochschule für Polizei und Verwaltung Wiesbaden in Kassel (Verw-FH)",2
70715400,7,"Hessische Hochschule für Polizei und Verwaltung Wiesbaden in Mühlheim (Verw-FH)",2
70715500,7,"Hessische Hochschule für Polizei und Verwaltung Wiesbaden in Wiesbaden (Verw-FH)",2
70720100,7,"Hochschule des Bundes für öffentliche Verwaltung, FB Wetterdienst in Langen",1
70720200,7,"Hochschule des Bundes für öffentliche Verwaltung, FB Kriminalpolizei in Wiesbaden",1
70720300,7,"Hochschule des Bundes für öffentl. Verwaltung, FB Landwirtschaftliche Sozialversicherung in Kassel",1
70805000,8,"FH für öffentliche Verwaltung, Polizei und Rechtspflege in Güstrow (Verw-FH)",2
70910000,9,"Norddeutsche Hochschule für Rechtspflege Hildesheim (Verw-FH)",2
70930000,9,"Kommunale H für Verwaltung in Niedersachsen, Hannover (Priv. Verw-FH)",4
71005000,10,"FH für Rechtspflege NW in Bad Münstereifel (Verw-FH)",2
71010000,10,"Hochschule für Finanzen Nordrhein-Westfalen in Nordkirchen (Verw-FH)",2
71015050,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Aachen (Verw-FH)",2
71015100,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Bielefeld (Verw-FH)",2
71015200,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Duisburg (Verw-FH)",2
71015300,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Gelsenkirchen (Verw-FH)",2
71015400,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Hagen (Verw-FH)",2
71015450,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Herne (Verw-FH)",2
71015500,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Köln (Verw-FH)",2
71015600,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Münster (Verw-FH)",2
71015700,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Dortmund (Verw-FH)",2
71015800,10,"Hochschule für Polizei und öffentliche Verwaltung NW in Mülheim (Verw-FH)",2
71020101,10,"Hochschule des Bundes für öffentliche Verwaltung, FB Allgemeine innere Verwaltung in Brühl",1
71020102,10,"Hochschule des Bundes für öff. Verwaltung, FB Nachrichtendienste Abteilung Verfassungsschutz, Brühl",1
71020200,10,"Hochschule des Bundes für öffentliche Verwaltung, FB Finanzen in Münster",1
71105000,11,"Hochschule für Finanzen Rheinland-Pfalz (HFin) in Edenkoben (Verw-FH)",2
71110000,11,"Hochschule der Deutschen Bundesbank Hachenburg (Verw-FH)",1
71115200,11,"Hochschule für öffentliche Verwaltung Rheinland-Pfalz (HöV) Mayen, FB Innere Verwaltung in Mayen",2
71120000,11,"Hochschule der Polizei Rheinland-Pfalz in Büchenbeuren (Verw-FH)",2
71205000,12,"FH für Verwaltung Saarbrücken (Verw-FH)",2
71305000,13,"Hochschule Meißen (FH) und Fortbildungszentrum (Verw-FH)",2
71310100,13,"H der Sächsischen Polizei (FH) in Rothenburg/OL. (Verw-FH)",2
71310200,13,"H der Sächsischen Polizei (FH) in Bautzen (Verw-FH) ",2
71405000,14,"FH Polizei Sachsen-Anhalt, Aschersleben (Verw-FH)",2
71505100,15,"FH für Verwaltung und Dienstleistung Altenholz in Altenholz (Verw-FH)",2
71505200,15,"FH für Verwaltung und Dienstleistung Altenholz in Reinfeld (Verw-FH)",2
71510000,15,"Hochschule des Bundes für öffentliche Verwaltung, FB Bundespolizei in Lübeck",1
71610000,16,"Thüringer FH für öffentliche Verwaltung Gotha (Verw-FH)",2
89805000,98,"Sonstige deutsche Hochschulen",6
89850000,98,"Berufsakademie in Deutschland",6
99905000,99,"Hochschulen im Ausland",6
"B0610100",6,"Berufsakademie Hamburg (Private BA)",4
"B0615100",6,"Berufsakademie Nord GmbH, University of Cooperative Education Hamburg (Private BA)	",4
"B0705100",7,"Akademie für Tonkunst Darmstadt",1
"B0710100",7,"Berufsakademie Rhein-Main Rödermark (Private BA)",4
"B0715100",7,"Brüder-Grimm-Berufsakademie Hanau (Private BA)",4
"B0718000",7,"Deutsche Berufsakademie Sport und Gesundheit (dba) in Baunatal (Private BA)",4
"B0720100",7,"Dr. Hoch's Konservatorium - Musikakademie Frankfurt am Main",1
"B0725100",7,"Europäische Studienakademie Kälte-Klima-Lüftung (ESaK) Maintal (Private BA)",4
"B0730100",7,"Hessische Berufsakademie Frankfurt, Studienort Frankfurt (Private BA)",4
"B0730150",7,"Hessische Berufsakademie Frankfurt, Studienort Kassel (Private BA)",4
"B0760100",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Berlin (Priv.)",4
"B0760150",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Bochum (Priv.)",4
"B0760200",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Darmstadt (Priv.)",4
"B0760250",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Erfurt (Priv.)",4
"B0760350",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Hamburg (Priv.)",4
"B0760400",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Heidelberg (Priv.)",4
"B0760450",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Kassel (Priv.)",4
"B0760500",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Köln (Priv.)",4
"B0760550",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Leipzig (Priv.)",4
"B0760600",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort München (Priv.)",4
"B0760650",7,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Nürnberg (Priv.)",4
"B0770100",7,"Musikakademie der Stadt Kassel Louis Spohr",1
"B0775100",7,"Private Berufsakademie Fulda",4
"B0785100",7,"Wiesbadener Musikakademie (WMA)",1
"B0910100",9,"Berufsakademie Holztechnik Melle (Private BA)",4
"B0915100",9,"Berufsakademie für Bankwirtschaft Hannover-Rastede, Studienort Hannover (Private BA)",4
"B0915150",9,"Berufsakademie für Bankwirtschaft Hannover-Rastede, Studienort Rastede (Private BA)",4
"B0920100",9,"Berufsakademie für IT und Wirtschaft Oldenburg (Private BA)",4
"B0925100",9,"Berufsakademie Göttingen (Private BA)",4
"B0930100",9,"Berufsakademie Lüneburg (Private BA)",4
"B0940100",9,"Berufsakademie Welfenakademie Braunschweig (Private BA)",4
"B0945100",9,"Berufsakademie Wilhelmshaven (Private BA)",4
"B1215100",12,"ASW - Berufsakademie Saarland Neunkirchen (Private BA) ",4
"B1220100",12,"BA GSS - Berufsakademie für Gesundheits- und Sozialwesen Saarland gGmbH, Saarbrücken (Private BA)",4
"B1225200",12,"ISBA gGmbH - Internationale Studien- und Berufsakademie, Saarbrücken (Private BA)",4
"B1230100",12,"Berufsakademie Heimerer GmbH, Quierschied (Private BA)",4
"B1310100",13,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Bautzen",1
"B1310150",13,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Breitenbrunn",1
"B1310200",13,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Dresden",1
"B1310250",13,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Glauchau",1
"B1310300",13,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Leipzig",1
"B1310350",13,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Riesa",1
"B1310400",13,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Plauen",1
