id,region,name,category,url,dnssec_domain,dnssec_nameserver,has_dnssec,dnssec_is_valid,dnssec_algorithm
262,Nordrhein-Westfalen,FH Aachen in Aachen,Public,www.fh-aachen.de,fh-aachen.de,solaris.dvz.fh-aachen.de.,False,False,
265,Nordrhein-Westfalen,Hochschule für Gesundheit Bochum (FH),Public,www.hs-gesundheit.de,hs-gesundheit.de,ns81.domaincontrol.com.,False,False,
267,Nordrhein-Westfalen,FH Dortmund,Public,www.fh-dortmund.de,fh-dortmund.de,ns.inwx.de.,True,True,ECDSAP256SHA256
268,Nordrhein-Westfalen,H Düsseldorf (FH),Public,www.hs-duesseldorf.de,hs-duesseldorf.de,deneb.dfn.de.,False,False,
269,Nordrhein-Westfalen,Westfälische H in Gelsenkirchen/Bocholt/Recklinghausen (FH) in Bocholt,Public,www.w-hs.de,w-hs.de,deneb.dfn.de.,False,False,
266,Nordrhein-Westfalen,H Bonn-Rhein-Sieg in Rheinbach (FH),Public,www.h-brs.de,h-brs.de,nsd6.schlundtech.de.,False,False,
270,Nordrhein-Westfalen,H Hamm-Lippstadt in Hamm (FH),Public,www.hshl.de,hshl.de,nsa2.schlundtech.de.,False,False,
271,Nordrhein-Westfalen,Technische Hochschule Köln (FH) in Gummersbach,Public,www.th-koeln.de,th-koeln.de,dns-1.dfn.de.,False,False,
273,Nordrhein-Westfalen,FH Münster in Münster,Public,www.fh-muenster.de,fh-muenster.de,ns01.fh-muenster.de.,False,False,
272,Nordrhein-Westfalen,TH Ostwestfalen-Lippe in Lemgo/Detmold/Höxter in Detmold (FH),Public,www.th-owl.de,th-owl.de,serval.noc.th-owl.de.,True,True,RSASHA256
274,Nordrhein-Westfalen,H Niederrhein in Krefeld (FH),Public,www.hs-niederrhein.de,hs-niederrhein.de,deneb.dfn.de.,False,False,
275,Nordrhein-Westfalen,H Rhein-Waal in Kleve (FH),Public,www.hochschule-rhein-waal.de,hochschule-rhein-waal.de,ns1093.ui-dns.de.,False,False,
278,Nordrhein-Westfalen,Fliedner Fachhochschule Düsseldorf (FH),Private,www.fliedner-fachhochschule.de,fliedner-fachhochschule.de,ns01.agenturserver.co.,False,False,
276,Nordrhein-Westfalen,FH Südwestfalen in Hagen,Public,www.fh-swf.de,fh-swf.de,dnsis.fh-swf.de.,False,False,
279,Nordrhein-Westfalen,"Kolping H, Köln (FH)",Private,www.kolping-hochschule.de,kolping-hochschule.de,ns5.kasserver.com.,False,False,
280,Nordrhein-Westfalen,TH Georg Agricola Bochum (FH),Private,www.thga.de,thga.de,deneb.dfn.de.,False,False,
282,Nordrhein-Westfalen,H für Finanzwirtschaft & Management Bonn (FH),Private,www.s-hochschule.de,s-hochschule.de,docks01.rzone.de.,False,False,
283,Nordrhein-Westfalen,IST-Hochschule für Management Düsseldorf (FH),Private,www.ist-hochschule.de,ist-hochschule.de,ns2.domainkunden.de.,False,False,
281,Nordrhein-Westfalen,EBZ Business School Bochum (FH),Private,www.ebz-business-school.de,ebz-business-school.de,ns04.netzfactor.org.,False,False,
285,Nordrhein-Westfalen,"CBS International Business School, Campus Köln (FH)",Private,cbs.de,cbs.de,coco.ns.cloudflare.com.,False,False,
277,Nordrhein-Westfalen,H Ruhr-West (FH) in Bottrop,Public,www.hochschule-ruhr-west.de,hochschule-ruhr-west.de,dns-1.dfn.de.,True,True,RSASHA256
284,Nordrhein-Westfalen,SRH Hochschule Nordrhein-Westfalen Hamm in Hamm (FH),Private,www.srh-hochschule-nrw.de,srh-hochschule-nrw.de,b.regfish-ns.net.,False,False,
287,Nordrhein-Westfalen,FH der Wirtschaft Paderborn in Bergisch-Gladbach (FH),Private,www.fhdw.de,fhdw.de,amalia.ns.cloudflare.com.,True,True,ECDSAP256SHA256
286,Nordrhein-Westfalen,Rheinische FH Köln in Köln (FH),Private,www.rfh-koeln.de,rfh-koeln.de,dns2.rfh-koeln.de.,False,False,
288,Nordrhein-Westfalen,FH der Diakonie Bielefeld-Bethel (FH),Private,www.fh-diakonie.de,fh-diakonie.de,ns1.md44.de.,False,False,
290,Nordrhein-Westfalen,Kath. Hochschule Nordrhein-Westfalen in Aachen (FH),Private,www.katho-nrw.de,katho-nrw.de,ns1.domaindiscount24.net.,False,False,
289,Nordrhein-Westfalen,"Evang. Hochschule Rheinland-Westfalen-Lippe, Bochum (FH)",Private,www.evh-bochum.de,evh-bochum.de,dns2.evh-bochum.de.,False,False,
292,Rheinland-Pfalz,Hochschule Kaiserslautern in Kaiserslautern (FH),Public,www.hs-kl.de,hs-kl.de,ns1.hs-kl.de.,False,False,
291,Rheinland-Pfalz,Technische Hochschule Bingen (FH),Public,www.th-bingen.de,th-bingen.de,aixdfn.th-bingen.de.,False,False,
293,Rheinland-Pfalz,Hochschule Koblenz (FH) in Höhr-Grenzhausen,Public,www.hs-koblenz.de,hs-koblenz.de,ns1.uni-koblenz.de.,False,False,
294,Rheinland-Pfalz,Hochschule für Wirtschaft und Gesellschaft Ludwigshafen (FH),Public,www.hwg-lu.de,hwg-lu.de,struppi.fh-ludwigshafen.de.,False,False,
295,Rheinland-Pfalz,Hochschule Mainz (FH),Public,www.hs-mainz.de,hs-mainz.de,newton.hs-mainz.de.,False,False,
297,Rheinland-Pfalz,Hochschule Worms (FH),Public,www.hs-worms.de,hs-worms.de,ns-sec.hs-worms.de.,False,False,
296,Rheinland-Pfalz,Hochschule Trier (FH) in Birkenfeld,Public,www.hochschule-trier.de,hochschule-trier.de,dns.fh-trier.de.,True,True,RSASHA256
