id,region,name,category,url,axfr_domain,axfr_nameservers,has_axfr
339,Rheinland-Pfalz,Hochschule für Finanzen Rheinland-Pfalz (HFin) in Edenkoben (Verw-FH),Public,landesfinanzschule-edenkoben.fin-rlp.de,fin-rlp.de,[],False
331,Hamburg,Akademie der Polizei Hamburg (Verw-FH),Public,akademie-der-polizei.hamburg.de,hamburg.de,[],False
342,Schleswig-Holstein,FH für Verwaltung und Dienstleistung Altenholz in Altenholz (Verw-FH),Public,www.fhvd-sh.de,fhvd-sh.de,[],False
333,Hessen,Hessische Hochschule für Finanzen und Rechtspflege Rotenburg (Verw-FH),Public,studienzentrum-rotenburg.hessen.de,hessen.de,[],False
334,Hessen,Hessische Hochschule für Polizei und Verwaltung Wiesbaden in Gießen (Verw-FH),Public,hoems.hessen.de,hessen.de,[],False
340,Rheinland-Pfalz,"Hochschule für öffentliche Verwaltung Rheinland-Pfalz (HöV) Mayen, FB Innere Verwaltung in Mayen",Public,hoev-rlp.de,hoev-rlp.de,[],False
341,Sachsen-Anhalt,"FH Polizei Sachsen-Anhalt, Aschersleben (Verw-FH)",Public,fh-polizei.sachsen-anhalt.de,sachsen-anhalt.de,[],False
344,Berlin,Touro College Berlin (FH),Private,www.touroberlin.de,touroberlin.de,[],False
336,Niedersachsen,Norddeutsche Hochschule für Rechtspflege Hildesheim (Verw-FH),Public,www.hr-nord.niedersachsen.de,niedersachsen.de,[],False
345,Berlin,Hertie School of Governance Berlin (U),Private,www.hertie-school.org,hertie-school.org,[],False
343,Thüringen,Thüringer FH für öffentliche Verwaltung Gotha (Verw-FH),Public,bildungszentrum.thueringen.de,thueringen.de,[],False
348,Sachsen-Anhalt,H Harz in Halberstadt (FH),Public,www.hs-harz.de,hs-harz.de,[],False
350,Baden-Württemberg,Wissenschaftliche H Bierbronnen (U),Private,www.siewerth-akademie.de,siewerth-akademie.de,[],False
338,Nordrhein-Westfalen,Hochschule für Polizei und öffentliche Verwaltung NW in Aachen (Verw-FH),Public,www.hspv.nrw.de,nrw.de,[],False
347,Hamburg,H für Musik und Theater Hamburg (Kunst-H),Public,www.hfmt-hamburg.de,hfmt-hamburg.de,[],False
351,Bayern,Technische Universität Nürnberg,Public,www.utn.de,utn.de,[],False
349,Baden-Württemberg,U Mannheim,Public,www.uni-mannheim.de,uni-mannheim.de,[],False
353,Berlin,German International University Berlin (U),Private,www.giu-berlin.de,giu-berlin.de,[],False
352,Berlin,Charité - Universitätsmedizin Berlin,Public,www.charite.de,charite.de,[],False
355,Hessen,"H der Deutschen Gesetzl. Unfallversicherung, Bad Hersfeld (FH)",Private,www.dguv.de,dguv.de,[],False
356,Hessen,Promotionszentrum Soziale Arbeit,Public,www.promotionszentrum-soziale-arbeit.de,promotionszentrum-soziale-arbeit.de,[],False
358,Sachsen,Hochschule für Telekommunikation Leipzig (FH),Private,www.hft-leipzig.de,hft-leipzig.de,[],False
354,Rheinland-Pfalz,Theol. H Vallendar (Theol. H),Private,www.pthv.de,pthv.de,[],False
357,Hessen,Promotionszentrum Angewandte Informatik,Public,pzai.de,pzai.de,[],False
359,Sachsen,SRH Berlin University of Applied Sciences in Dresden (FH),Private,www.srh-campus-dresden.de,srh-campus-dresden.de,[],False
362,Hessen,Akademie für Tonkunst Darmstadt,Public,www.akademie-fuer-tonkunst.de,akademie-fuer-tonkunst.de,[],False
360,Hamburg,Berufsakademie Hamburg (BA),Private,www.ba-hamburg.de,ba-hamburg.de,[],False
361,Hamburg,"Berufsakademie Nord GmbH, University of Cooperative Education Hamburg (BA)",Private,Studieren-ba-nord.de,Studieren-ba-nord.de,[],False
363,Hessen,Berufsakademie Rhein-Main Rödermark (BA),Private,studenten.ba-rm.de,ba-rm.de,[],False
367,Hessen,Europäische Studienakademie Kälte-Klima-Lüftung (ESaK) Maintal (BA),Private,www.esak.de,esak.de,[],False
369,Hessen,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Berlin ()",Private,www.ibadual.com,ibadual.com,[],False
366,Hessen,Dr. Hoch's Konservatorium - Musikakademie Frankfurt am Main,Public,www.dr-hochs.de,dr-hochs.de,[],False
346,Berlin,Steinbeis-H Berlin (U),Private,www.steinbeis-hochschule.de,steinbeis-hochschule.de,['20.56.148.105'],True
371,Hessen,Wiesbadener Musikakademie (WMA),Public,www.wma-wiesbaden.de,wma-wiesbaden.de,[],False
372,Niedersachsen,Berufsakademie Holztechnik Melle (BA),Private,www.ba-melle.de,ba-melle.de,[],False
288,Nordrhein-Westfalen,FH der Diakonie Bielefeld-Bethel (FH),Private,www.fh-diakonie.de,fh-diakonie.de,[],False
370,Hessen,Berufsakademie Fulda,Private,www.ba-fulda.de,ba-fulda.de,[],False
373,Niedersachsen,"Berufsakademie für Bankwirtschaft Hannover-Rastede, Studienort Hannover (BA)",Private,www.ba-bankwirtschaft.de,ba-bankwirtschaft.de,[],False
364,Hessen,Brüder-Grimm-Berufsakademie Hanau (BA),Private,www.bg-ba.de,bg-ba.de,[],False
374,Niedersachsen,Berufsakademie für IT und Wirtschaft Oldenburg (BA),Private,www.ibs-ol.de,ibs-ol.de,[],False
378,Niedersachsen,Berufsakademie Wilhelmshaven (BA),Private,Berufsakademie-wilhelmshaven.de,Berufsakademie-wilhelmshaven.de,[],False
368,Hessen,"Hessische Berufsakademie Frankfurt, Studienort Frankfurt (BA)",Private,www.hessische-ba.de,hessische-ba.de,[],False
