Certificate Authority,Total #,Total %
R3,86,49.142857142857146
Sectigo RSA Domain Validation Secure Server CA,19,10.857142857142858
Encryption Everywhere DV TLS CA - G1,11,6.2857142857142865
Starfield Secure Certificate Authority - G2,11,6.2857142857142865
DFN-Verein Global Issuing CA,8,4.571428571428571
Others,40,22.857142857142858
