Certificate Authority,Total #,Total %
GEANT OV RSA CA 4,83,29.749103942652326
DFN-Verein Global Issuing CA,75,26.881720430107524
R3,53,18.996415770609318
Sectigo RSA Organization Validation Secure Server CA,24,8.60215053763441
Sectigo ECC Organization Validation Secure Server CA,7,2.5089605734767026
Others,37,13.261648745519713
