ID,Region,Name,Category,Url
402,Bayern,U der Bundeswehr München (FB Universitätsstudiengänge),Public,www.unibw.de
403,Hamburg,Helmut-Schmidt-Universität Hamburg,Public,www.hsu-hh.de
404,Hessen,Theologische H Ewersbach in Dietzhölztal (Theol. H),Private,Th-ewersbach.de
405,Baden-Württemberg,Internationale Hochschule Liebenzell (FH),Private,Www.ihl.eu
406,Niedersachsen,"Kommunale H für Verwaltung in Niedersachsen, Hannover (Verw-FH)",Private,www.nsi-hsvn.de
407,Rheinland-Pfalz,Hochschule der Deutschen Bundesbank Hachenburg (Verw-FH),Public,www.hochschule-bundesbank.de
408,Baden-Württemberg,Hochschule der Bundesagentur für Arbeit in Mannheim (FH),Public,www.hdba.de
409,Brandenburg,HMU Health and Medical University Potsdam (U),Private,www.health-and-medical-university.de
410,Nordrhein-Westfalen,"Deutsche Hochschule der Polizei, Münster (U)",Public,www.dhpol.de
411,Bayern,H für Philosophie München (Theol. H),Private,www.hfph.de
412,Bayern,Augustana-H Neuendettelsau (Theol. H),Private,www.augustana.de
413,Hessen,Phil.-Theol. H Frankfurt a.M. (Theol. H),Private,www.sankt-georgen.de
414,Hessen,Theol. Fakultät Fulda (Theol. H),Private,www.thf-fulda.de
415,Hessen,Freie Theologische H (FTH) Gießen (Theol. H),Private,Www.fthgiessen.de
416,Baden-Württemberg,PH Freiburg i.Br.,Public,www.ph-freiburg.de
417,Baden-Württemberg,PH Heidelberg,Public,www.ph-heidelberg.de
418,Baden-Württemberg,PH Karlsruhe,Public,www.ph-karlsruhe.de
419,Baden-Württemberg,PH Ludwigsburg,Public,www.ph-ludwigsburg.de
420,Baden-Württemberg,PH Schwäbisch Gmünd,Public,www.ph-gmuend.de
421,Baden-Württemberg,PH Weingarten,Public,www.ph-weingarten.de
422,Nordrhein-Westfalen,H für Kirchenmusik Herford-Witten (Theol. H),Private,www.hochschule-kirchenmusik.de
423,Nordrhein-Westfalen,Phil.-Theol. H Münster (Theol. H),Private,www.pth-muenster.de
424,Nordrhein-Westfalen,Theol. Fakultät Paderborn (Theol. H),Private,www.thf-paderborn.de
425,Nordrhein-Westfalen,Kölner H für Katholische Theologie (Theol. H),Private,www.khkt.de
426,Baden-Württemberg,Duale Hochschule Baden-Württemberg,Public,www.dhbw.de
427,Baden-Württemberg,AKAD Hochschule Stuttgart (Fern-FH),Private,www.akad.de
428,Hamburg,Berufliche Hochschule Hamburg (FH),Public,bhh.hamburg.de
429,Hamburg,MSH Medical School Hamburg (FH),Private,www.medicalschool-hamburg.de
430,Hessen,Hochschule Geisenheim University (FH),Public,www.hs-geisenheim.de
431,Hessen,Wilhelm Büchner Hochschule Darmstadt (Fern-FH),Private,www.wb-fernstudium.de
432,Thüringen,Duale Hochschule Gera-Eisenach in Eisenach (FH),Public,www.dhge.de
433,Sachsen,Hochschule Meißen (FH) und Fortbildungszentrum (Verw-FH),Public,www.hsf.sachsen.de
434,Sachsen-Anhalt,Theol. H Friedensau (Theol. H),Private,www.thh-friedensau.de
435,Berlin,"Europ. School of Management and Technology, Berlin (U)",Private,esmt.berlin
436,Niedersachsen,Medizinische H Hannover (U),Public,www.mhh.de
437,Nordrhein-Westfalen,U Duisburg-Essen,Public,www.uni-due.org
438,Rheinland-Pfalz,TU Kaiserslautern,Public,rptu.de
439,Bayern,H für Musik und Theater München (Kunst-H),Public,www.hmtm.de
440,Saarland,Hochschule für Musik Saarbrücken (Kunst-H),Public,www.hfmsaar.de
441,Baden-Württemberg,Technische Hochschule Ulm (FH),Public,studium.hs-ulm.de
442,Baden-Württemberg,SRH Hochschule Heidelberg (FH),Private,www.srh-hochschule-heidelberg.de
443,Bayern,H für angewandte Wissenschaften Würzburg-Schweinfurt in Schweinfurt (FH),Public,www.thws.de
444,Brandenburg,FH für Finanzen Brandenburg Königs Wusterhausen (Verw-FH),Public,fhf.brandenburg.de
445,Hessen,Luth.-Theologische H Oberursel (Theol. H),Private,lthh.de
446,Rheinland-Pfalz,Theol. Fakultät Trier (Theol. H),Private,Theologie-trier.de
447,Thüringen,IU Internationale Hochschule Erfurt in Mannheim (FH),Private,www.iu.de
448,Nordrhein-Westfalen,H für Ökonomie und Management Essen,Private,www.fom.de
449,Nordrhein-Westfalen,International School of Management Dortmund in Stuttgart (FH),Private,www.ism.de
450,Brandenburg,EU European University of Applied Sciences in Mannheim (FH),Private,www.ue-germany.com
451,Berlin,IB Hochschule für Gesundheit und Soziales Berlin in Stuttgart (FH),Private,www.ib-hochschule.de
452,Berlin,VICTORIA - Internationale Hochschule Berlin in Baden Baden (FH),Private,www.victoria-hochschule.de
453,Berlin,Mediadesign Hochschule Berlin in München (FH),Private,www.mediadesign.de
454,Nordrhein-Westfalen,FH des Mittelstandes (FHM) in Bamberg (FH),Private,www.fh-mittelstand.de
455,Berlin,Deutsche Hochschule für Gesundheit und Sport Berlin in Ismaning (FH),Private,www.dhgs-hochschule.de
456,Brandenburg,HSD Hochschule Döpfer Köln in Regensburg (FH),Private,www.hs-doepfer.de
457,Nordrhein-Westfalen,Europäische FH (EUFH) in Rostock (FH),Private,www.eufh.de
458,Nordrhein-Westfalen,"Hochschule des Bundes für öffentliche Verwaltung, FB Bundeswehrverwaltung in Mannheim",Public,www.hsbund.de
